epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.549,0.9371,2.92436,1.21858,0.21556,0.27247,0.16351,0.09086,1.46331,3.38675,1.86066,9.99612e-05,9.99612e-05,0.0667796
2,1093.69,0.85056,2.33554,1.15099,0.36572,0.37491,0.33727,0.20395,1.35215,2.27556,1.67307,0.000195012,0.000195012,0.0335413
3,1623.55,0.80869,2.08694,1.12488,0.46592,0.45971,0.45202,0.2794,1.28374,1.99676,1.63726,0.000285113,0.000285113,0.000298048
4,2152.62,0.76884,1.90331,1.10257,0.50522,0.47932,0.49488,0.31932,1.25866,1.82306,1.59794,0.000277725,0.000277725,0.000277725
5,2683.99,0.74299,1.74681,1.08654,0.56475,0.5262,0.55152,0.36078,1.17706,1.71437,1.4976,0.0002703,0.0002703,0.0002703
6,3216.32,0.72296,1.63484,1.07292,0.56961,0.55694,0.58223,0.39279,1.13825,1.58051,1.51825,0.000262875,0.000262875,0.000262875
7,3750.91,0.7015,1.53837,1.06194,0.6484,0.56581,0.63004,0.43982,1.07027,1.45583,1.44613,0.00025545,0.00025545,0.00025545
8,4281.71,0.69041,1.45897,1.05407,0.65194,0.60085,0.65668,0.45705,1.0646,1.40735,1.42506,0.000248025,0.000248025,0.000248025
9,4814.3,0.67708,1.38758,1.04567,0.6817,0.63652,0.68445,0.47788,1.04957,1.34687,1.42375,0.0002406,0.0002406,0.0002406
10,5348.19,0.66185,1.32799,1.03876,0.66373,0.6335,0.68269,0.48259,1.04457,1.31461,1.41253,0.000233175,0.000233175,0.000233175
11,5879.37,0.65185,1.27306,1.03111,0.70583,0.65534,0.70907,0.51182,0.98594,1.24521,1.38143,0.00022575,0.00022575,0.00022575
12,6419.68,0.64373,1.2184,1.02787,0.72724,0.66592,0.72708,0.52293,0.99101,1.20677,1.36679,0.000218325,0.000218325,0.000218325
13,6961.41,0.63226,1.16237,1.02137,0.74714,0.64944,0.7351,0.53248,0.9816,1.19958,1.36342,0.0002109,0.0002109,0.0002109
14,7494.95,0.62294,1.12463,1.0147,0.75947,0.66015,0.74609,0.54633,0.96298,1.14353,1.35342,0.000203475,0.000203475,0.000203475
15,8026.19,0.61412,1.096,1.01017,0.74363,0.69959,0.75914,0.54969,0.9658,1.1016,1.35499,0.00019605,0.00019605,0.00019605
16,8554.25,0.61204,1.05283,1.00841,0.73507,0.71161,0.75883,0.55536,0.96267,1.10888,1.35911,0.000188625,0.000188625,0.000188625
17,9082,0.59792,1.01889,1.00229,0.76378,0.70873,0.77184,0.57204,0.93862,1.06164,1.33681,0.0001812,0.0001812,0.0001812
18,9611.97,0.59413,0.99021,0.99882,0.79474,0.71232,0.78428,0.57481,0.94779,1.02876,1.3402,0.000173775,0.000173775,0.000173775
19,10144,0.58837,0.95055,0.99495,0.78895,0.70902,0.78922,0.58437,0.93015,1.02442,1.32013,0.00016635,0.00016635,0.00016635
20,10678.3,0.5786,0.91822,0.98997,0.76453,0.73374,0.79185,0.5899,0.91297,1.00414,1.31285,0.000158925,0.000158925,0.000158925
21,11212,0.57246,0.89096,0.98492,0.78025,0.73569,0.79828,0.59677,0.914,0.99567,1.31373,0.0001515,0.0001515,0.0001515
22,11746.6,0.56532,0.86045,0.98165,0.81752,0.7051,0.79902,0.59862,0.9033,0.99011,1.30696,0.000144075,0.000144075,0.000144075
23,12281.4,0.55788,0.84831,0.97943,0.79397,0.73463,0.80468,0.60147,0.90448,0.96943,1.31542,0.00013665,0.00013665,0.00013665
24,12815.8,0.55415,0.81988,0.97392,0.78367,0.7524,0.80607,0.60424,0.89888,0.95532,1.31631,0.000129225,0.000129225,0.000129225
25,13352.9,0.54821,0.79712,0.97446,0.80834,0.73755,0.81022,0.60656,0.89903,0.95821,1.31376,0.0001218,0.0001218,0.0001218
